종목코드,종목명,전일종가,전일거래량,시가총액,거래대금
072950,빛샘전자,13830,1219251,111367596300,16862241330
064290,인텍플러스,48950,336979,634273443100,16495122050
483650,달바글로벌,182600,90266,2287232079000,16482571600
387690,레메디,17190,955245,131087347290,16420661550
234340,헥토파이낸셜,21050,779465,294082308800,16407738250
298380,에이비엘바이오,54000,303144,3023323002000,16369776000
009540,HD한국조선해양,338000,48099,23921313208000,16257462000
021240,코웨이,99900,162152,7069665857400,16198984800
058470,리노공업,69800,228980,5319587130000,15982804000
310210,보로노이,153000,103584,2836024524000,15848352000
347700,스피어,23550,648195,1214034575100,15264992250
064350,현대로템,120400,121718,13140732077200,14654847200
098460,고영,28200,515972,1923358806600,14550410400
018260,삼성에스디에스,224000,64592,17332627200000,14468608000
475150,SK이터닉스,50200,287653,1710163600800,14440180600
267250,HD현대,210000,67908,16588547850000,14260680000
004310,현대약품,9590,1485928,306880000000,14250049520
007610,선도전기,4785,2956820,86130000000,14148383700
086280,현대글로비스,201000,68574,15075000000000,13783374000
178320,서진시스템,33050,414575,2106061311450,13701703750
456010,아이씨티케이,21500,636878,311800525000,13692877000
058610,에스피지,100200,132731,2222171472000,13299646200
033780,KT&G,173700,76357,18031876207200,13263210900
003490,대한항공,28950,456552,10659986630550,13217180400
253590,네오셈,12950,994853,568105673800,12883346350
226950,올릭스,110300,115733,2509384451700,12765349900
052710,아모텍,17020,746030,317947216000,12697430600
042370,비츠로테크,11260,1121609,295012281500,12629317340
207940,삼성바이오로직스,1399000,9014,64761040449000,12610586000
064400,LG씨엔에스,69800,180326,6762639170400,12586754800
203650,드림시큐리티,2830,4376044,287823689720,12384204520
161890,한국콜마,145700,84506,3439259718900,12312524200
257720,실리콘투,40950,296847,2685347519400,12155884650
031980,피에스케이홀딩스,166300,71079,3585826288500,11820437700
050890,쏠리드,9390,1254232,570503854260,11777238480
054920,한컴위드,5170,2274981,145882308770,11761651770
001210,금호전기,10530,1113458,131902633980,11724712740
328130,루닛,9680,1198321,720755182400,11599747280
090430,아모레퍼시픽,146700,78961,8580887745300,11583578700
