종목코드,종목명,전일종가,전일거래량,시가총액,거래대금
005930,삼성전자,285500,20864376,1669112542584000,5956779348000
000660,SK하이닉스,1862000,2947714,1360176783630000,5488643468000
005935,삼성전자우,220000,5822644,176521664660000,1280981680000
0010S0,와이즈플래닛컴퍼니,46300,26080671,463927389000,1207535067300
402340,SK스퀘어,1190000,963292,156989557620000,1146317480000
009150,삼성전기,1507000,496091,112563399872000,747609137000
034020,두산에너빌리티,81700,4585876,52333845628200,374666069200
240810,원익IPS,133700,2584001,6562517563700,345480933700
356680,엑스게이트,18220,17809737,520062424240,324493408140
035420,NAVER,194700,1148820,29612773644300,223675254000
0161M0,네오사피엔스,25800,8433669,315168801000,217588660200
006400,삼성SDI,521000,376430,41985061130000,196120030000
005380,현대차,353500,550575,71925404922000,194628262500
353200,대덕전자,119400,1578412,5900380845000,188462392800
030530,원익홀딩스,28300,6640185,2185834862300,187917235500
036930,주성엔지니어링,209500,873557,9737794849500,183010191500
047040,대우건설,17440,10155479,7166229206720,177111553760
072950,빛샘전자,14200,11884891,114347062000,168765452200
010170,대한광통신,17700,8890968,2752096182000,157370133600
096770,SK이노베이션,149200,999300,25222675969600,149095560000
387690,레메디,18850,7782429,143746160350,146698786650
000720,현대건설,121100,1201523,13485183141500,145504435300
012450,한화에어로스페이스,1021000,139794,52646232421000,142729674000
478340,나라스페이스테크놀로지,14190,9729490,164751788850,138061463100
003490,대한항공,31500,4154511,11598949183500,130867096500
000150,두산,1512000,79240,24485078520000,119810880000
105560,KB금융,173200,679189,61431915528800,117635534800
066570,LG전자,209000,546536,34042889342000,114226024000
009830,한화솔루션,29200,3892862,6566862051200,113671570400
058470,리노공업,74300,1493192,5662540455000,110944165600
007660,이수페타시스,118900,929301,8728356139100,110493888900
028050,삼성E&A,49350,2237039,9672600000000,110397874650
093370,후성,13950,7496102,1496211853500,104570622900
440110,파두,81600,1278892,4089059803200,104357587200
028260,삼성물산,367000,275715,59515502227000,101187405000
003670,포스코퓨처엠,179900,555377,16001424978000,99912322300
055550,신한지주,109300,895919,51310911122700,97923946700
001440,대한전선,30950,3032595,6065970846200,93858815250
000270,기아,115400,798446,45053659969200,92140668400
046970,우리로,7910,11635487,346655742090,92036702170
001820,삼화콘덴서,146900,618327,1527025500000,90832236300
042700,한미반도체,243500,369301,23208520700000,89924793500
010060,OCI홀딩스,206000,435108,3846067792000,89632248000
222800,심텍,149500,584741,5753436637000,87418779500
086790,하나금융지주,133100,648296,36066095021000,86288197600
115440,우리넷,12120,7090222,130826819040,85933490640
329180,HD현대중공업,441000,190670,46287900225000,84085470000
006360,GS건설,34600,2377160,2961119554000,82249736000
103590,일진전기,81700,999539,3895896363000,81662336300
