종목코드,종목명,정규장종가,정규장거래량,시가총액,거래대금
000660,SK하이닉스,1919000,1299985,1401814848435000,2494671215000
005930,삼성전자,280500,7244655,1639881149544000,2032125727500
009150,삼성전기,1518000,534519,113385030528000,811399842000
005935,삼성전자우,214000,2279359,171707437442000,487782826000
0161M0,네오사피엔스,34300,9009487,419003483500,309025404100
402340,SK스퀘어,1163000,235818,153427609674000,274256334000
353200,대덕전자,115000,2300006,5682946375000,264500690000
001440,대한전선,32150,7020366,6301161961400,225704766900
222800,심텍,149600,1400699,5757285089600,209544570400
066570,LG전자,218500,838571,35590293403000,183227763500
001820,삼화콘덴서,150200,1155823,1561329000000,173604614600
007810,코리아써키트,66000,2208831,1582852920000,145782846000
012210,삼미금속,13570,10121592,312809927030,137350003440
067310,하나마이크론,47050,2887424,3128395386450,135853299200
010170,대한광통신,17790,7306604,2766089891400,129984485160
043260,성호전자,27300,4330010,2059835450400,118209273000
036930,주성엔지니어링,205500,560419,9551870365500,115166104500
036540,SFA반도체,10580,10771249,1739990005740,113959814420
034020,두산에너빌리티,85900,1294631,55024202441400,111208802900
047040,대우건설,18820,5472291,7733281747160,102988516620
000500,가온전선,328500,310119,9781943899500,101874091500
232140,와이씨,14810,6294905,1215091633500,93227543050
052690,한전기술,131700,703394,5033574000000,92636989800
386380,스카이랩스,24150,3726253,453101744550,89989009950
005380,현대차,366500,242852,74570469318000,89005258000
240810,원익IPS,130600,671428,6410357470600,87688496800
006340,대원전선,13975,6047716,1095841463600,84516831100
356860,티엘비,44850,1783655,1063001511000,79996926750
000150,두산,1479000,52666,23950681965000,77893014000
007660,이수페타시스,114900,675386,8434719263100,77601851400
011070,LG이노텍,553000,136615,13087910171000,75548095000
003490,대한항공,30550,2467978,11249139604950,75396727900
080220,제주반도체,78100,960408,2689985257300,75007864800
000720,현대건설,130200,513300,14498520603000,66831660000
042700,한미반도체,244500,242848,23303832900000,59376336000
041190,우리기술투자,6230,9284182,497154000000,57840453860
010120,LS ELECTRIC,213500,263949,32025000000000,56353111500
012330,현대모비스,380500,143873,34176732592500,54743676500
105560,KB금융,176000,296494,62425041184000,52182944000
486990,노타,22200,2333576,474911946000,51805387200
096770,SK이노베이션,139100,371729,23515242810800,51707503900
298040,효성중공업,2969000,17063,27684583012000,50660047000
028260,삼성물산,363000,136437,58866831903000,49526631000
035420,NAVER,202000,242916,30723062538000,49069032000
024840,KBI메탈,6590,7193196,286443358530,47403161640
028050,삼성E&A,51500,884279,10094000000000,45540368500
052710,아모텍,19300,2285654,360539440000,44113122200
950260,인제니아테라퓨틱스(Reg.S),21600,2013978,1068003511200,43501924800
058470,리노공업,73100,567033,5571086235000,41450112300
006800,미래에셋증권,33350,1219487,18109752050850,40669891450
403870,HPSP,54800,736283,4510040000000,40348308400
108490,로보티즈,312000,128839,4576112736000,40197768000
032820,우리기술,13400,2902140,2315313800800,38888676000
006400,삼성SDI,535000,71873,43113258550000,38452055000
012450,한화에어로스페이스,1060000,36193,54657205060000,38364580000
017670,SK텔레콤,87200,437861,18729692621600,38181479200
000990,DB하이텍,132000,286638,5742605616000,37836216000
000270,기아,120200,310972,46927642359600,37378834400
204270,제이앤티씨,25900,1377282,1498275269400,35671603800
032830,삼성생명,291000,121214,58200000000000,35273274000
307950,현대오토에버,390500,90312,10709064971000,35266836000
278470,에이피알,362000,97082,13552612110000,35143684000
055550,신한지주,113200,307039,53141767054800,34756814800
017900,광전자,10410,3315565,603194572830,34515031650
010950,S-Oil,150400,224185,16932451916800,33717424000
119850,지엔씨에너지,56100,575540,922783794900,32287794000
103590,일진전기,77800,409319,3709923342000,31845018200
035720,카카오,34150,922232,15128446687450,31494222800
274090,켄코아에어로스페이스,12840,2437479,176860817880,31297230360
064290,인텍플러스,56350,540012,730159520300,30429676200
086790,하나금융지주,135500,220792,36716422805000,29917316000
010060,OCI홀딩스,189500,156836,3538008964000,29720422000
062040,산일전기,209500,140077,6419677075000,29346131500
373220,LG에너지솔루션,352000,82926,82368000000000,29189952000
440110,파두,72900,396436,3653093868300,28900184400
003230,삼양식품,1253000,22942,9438867795000,28746326000
425420,티에프이,66400,429659,819852818400,28529357600
078930,GS,108900,258856,10116319405500,28189418400
068270,셀트리온,179300,155970,41708259656800,27965421000
327260,RF머트리얼즈,48600,572150,874257575400,27806490000
329180,HD현대중공업,452000,60852,47442473700000,27505104000
0007C0,아크릴,20900,1314458,167833771600,27472172200
356680,엑스게이트,17170,1597067,490091757640,27421640390
095340,ISC,214000,126403,4536170412000,27050242000
475150,SK이터닉스,50700,529295,1727197102800,26835256500
196170,알테오젠,253500,105694,17657576215500,26793429000
005490,POSCO홀딩스,316500,84632,25079943295500,26786028000
006360,GS건설,37200,704171,3183631428000,26195161200
145020,휴젤,189900,137427,2376631352700,26097387300
316140,우리금융지주,35800,712279,26376958740600,25499588200
093370,후성,13670,1863978,1466180361100,25480579260
079550,LIG디펜스앤에어로스페이스,714000,34343,15708000000000,24520902000
267260,HD현대일렉트릭,724000,33862,26098125740000,24516088000
131970,두산테스나,95900,253210,1853482124200,24282839000
161890,한국콜마,144800,161767,3418015149600,23423861600
033160,엠케이전자,15950,1467231,391796725100,23402334450
071050,한국금융지주,187000,125125,10420760504000,23398375000
064400,LG씨엔에스,71700,319999,6946722471600,22943928300
098460,고영,29200,783963,1991563019600,22891719600
267270,HD건설기계,139700,159411,6635384824200,22269716700
0007J0,인벤테라,13710,1616724,107838938940,22165286040
066970,엘앤에프,108800,201469,4426656819200,21919827200
089970,브이엠,58200,374778,1532217723000,21812079600
016360,삼성증권,90900,239845,8117370000000,21801910500
218410,RFHIC,59500,365696,1581238799000,21758912000
000810,삼성화재,644500,33727,28775296348500,21737051500
059090,미코,21950,980593,733498277100,21524016350
089030,테크윙,48150,445910,1784133006750,21470566500
425040,티이엠씨,12810,1663146,280832323380,21304900260
034730,SK,584000,36105,42341578552000,21085320000
352820,하이브,159300,131946,6866918974800,21018997800
475830,오름테라퓨틱,25250,823897,549261129000,20803399250
009155,삼성전기우,528000,39053,1534887552000,20619984000
030530,원익홀딩스,26650,773058,2058392193650,20601995700
006260,LS,333000,61216,10389600000000,20384928000
388050,지투파워,10920,1826231,204307052040,19942442520
336260,두산퓨얼셀,48000,405128,3143698848000,19446144000
039030,이오테크닉스,478000,40174,5888744900000,19203172000
002990,금호건설,13320,1427568,496302853680,19015205760
033780,KT&G,170400,110686,17689301702400,18860894400
420770,기가비스,114500,161070,1451374291000,18442515000
082740,한화엔진,49350,373317,4118116457700,18423193950
051910,LG화학,256500,71631,18106935979500,18373351500
009540,HD한국조선해양,340500,53651,24098245998000,18268165500
005690,파미셀,12870,1368073,772251660180,17607099510
083650,비에이치아이,63000,274745,1949495625000,17308935000
257720,실리콘투,40450,426873,2652559393400,17267012850
071090,하이스틸,3675,4654363,74203655925,17104784025
319660,피에스케이,132800,127291,3846779619200,16904244800
100840,SNT에너지,38900,428996,804482458700,16687944400
321370,센서뷰,1756,9483192,124012672756,16652485152
015760,한국전력,30800,538127,19772493571600,16574311600
087010,펩트론,147800,109836,3446304330000,16233760800
457370,한켐,11600,1385092,93578754400,16067067200
322000,HD현대에너지솔루션,116700,137264,1307040000000,16018708800
042660,한화오션,81800,195420,25064615629200,15985356000
128940,한미약품,503000,31329,6443928473000,15758487000
088350,한화생명,5620,2724445,4881138600000,15311380900
034220,LG디스플레이,8550,1790753,4275000000000,15310938150
069540,빛과전자,3975,3812647,447950290575,15155271825
095610,테스,152800,99029,2958208000000,15131631200
086280,현대글로비스,204500,73567,15337500000000,15044451500
009830,한화솔루션,27600,541139,6207033993600,14935436400
131290,티에스이,277500,53710,3069546547500,14904525000
437730,삼현,54400,273415,1724891644800,14873776000
010140,삼성중공업,20600,719648,18128000000000,14824748800
125490,한라캐스트,12610,1166852,460294658720,14714003720
064350,현대로템,118800,122136,12966104408400,14509756800
277810,레인보우로보틱스,451500,32053,8759035887000,14471929500
005830,DB손해보험,183100,78948,11993113901900,14455378800
031980,피에스케이홀딩스,161300,89457,3478014313500,14429414100
417840,저스템,16080,895288,367739646480,14396231040
267250,HD현대,206000,69765,16272575510000,14371590000
009580,무림P&P,1924,7444965,119996655376,14324112660
456010,아이씨티케이,22650,625965,328478227500,14178107250
0155E0,해치텍,13130,1071530,72046279500,14069188900
003160,디아이,35300,397307,998990000000,14024937100
183300,코미코,31450,444582,1615374998750,13982103900
454910,두산로보틱스,71600,194976,4641110568000,13960281600
051370,인터플렉스,7130,1941698,166324875360,13844306740
047050,포스코인터내셔널,56700,243024,9974822079600,13779460800
178320,서진시스템,32250,415899,2055082520250,13412742750
323280,태성,47400,282864,1447500252000,13407753600
272210,한화시스템,76500,171761,14452333258500,13139716500
195870,해성디에스,60000,211186,1020000000000,12671160000
207940,삼성바이오로직스,1397000,9035,64668458547000,12621895000
001210,금호전기,10290,1209737,128896306140,12448193730
046890,서울반도체,10660,1166620,621535564000,12436169200
332570,PS일렉트로닉스,9070,1369745,416681269210,12423587150
042370,비츠로테크,11090,1105787,290558277250,12263177830
018260,삼성에스디에스,226500,53712,17526071700000,12165768000
003550,LG,116800,102098,17659226067200,11925046400
053260,금강철강,7490,1563761,140212800000,11712569890
090430,아모레퍼시픽,141200,82735,8259177570800,11682182000
347700,스피어,23000,504957,1185681326000,11614011000
253590,네오셈,13370,868222,586530722680,11608128140
086520,에코프로,80900,142642,10984290696800,11539737800
478340,나라스페이스테크놀로지,13440,849648,156043977600,11419269120
483650,달바글로벌,180050,63266,2255516058250,11391043300
347850,디앤디파마텍,44100,255214,2028431934900,11254937400
477850,마키나락스,21800,514179,387053244800,11209102200
049470,비트플래닛,3300,3371353,77698166700,11125464900
393210,토마토시스템,3315,3267191,51762213360,10830738165
004310,현대약품,9030,1193430,288960000000,10776672900
090460,비에이치,20000,536681,674230760000,10733620000
092790,넥스틸,14320,746420,372348640000,10688734400
025980,아난티,5450,1957868,530290395500,10670380600
005387,현대차2우B,179200,57903,6138862822400,10376217600
138080,오이솔루션,28150,368445,348433887700,10371726750
417200,LS머트리얼즈,13680,750392,925488375120,10265362560
046970,우리로,7800,1304833,341834992200,10177697400
247540,에코프로비엠,104500,97066,10223280353000,10143397000
058610,에스피지,100300,99519,2224389208000,9981755700
319400,현대무벡스,21700,458374,2416860046300,9946715800
036570,NC,217500,45580,4685824785000,9913650000
377300,카카오페이,41200,239762,5574385626400,9878194400
004020,현대제철,35750,276240,4770686813750,9875580000
003670,포스코퓨처엠,178200,54943,15850216404000,9790842600
214450,파마리서치,326000,29633,3387025248000,9660358000
085910,네오티스,16060,598734,221544777080,9615668040
229640,LS에코에너지,59900,159684,1834430252100,9565071600
310210,보로노이,151000,63226,2798952308000,9547126000
192650,드림텍,8480,1096447,558720309920,9297870560
039490,키움증권,264500,35145,6937389582000,9295852500
126730,코칩,24100,385123,211360036600,9281464300
003350,한국화장품제조,15200,610427,344432000000,9278490400
078350,한양디지텍,28850,320453,439800420700,9245069050
028300,HLB,31500,292134,4195744024500,9202221000
201490,미투온,3840,2392940,125659107840,9188889600
226950,올릭스,102800,88929,2338755409200,9141901200
217590,티엠씨,14520,623947,349848147000,9059710440
138040,메리츠금융지주,129400,69406,21654737126200,8981136400
234340,헥토파이낸셜,22050,405255,308052964800,8935872750
050890,쏠리드,9590,925075,582655161060,8871469250
375500,DL이앤씨,85000,103577,3288957955000,8804045000
399720,가온칩스,46350,189068,549657419400,8763301800
067290,JW신약,3200,2690947,179318729600,8611030400
001450,현대해상,47150,180186,4019454987500,8495769900
298380,에이비엘바이오,52400,161868,2933743061200,8481883200
144960,뉴파워프라즈마,12360,683024,540040832640,8442176640
348370,엔켐,20250,412380,443697628500,8350695000
010130,고려아연,1122000,7387,23419471218000,8288214000
281820,케이씨텍,79000,104062,1564094219000,8220898000
024060,흥구석유,12680,644158,190200000000,8167923440
003530,한화투자증권,4750,1710449,1019101931250,8124632750
004170,신세계,358500,21885,3386097388500,7845772500
077360,덕산하이메탈,12680,618150,576141185360,7838142000
072950,빛샘전자,13250,590935,106697082500,7829888750
027360,아주IB투자,4005,1901172,485187351030,7614193860
084370,유진테크,147800,50893,3386991007600,7521985400
462860,더즌,3050,2434591,218892714150,7425502550
092870,엑시콘,37900,190288,494625206300,7211915200
014680,한솔케미칼,224500,31820,2423261082000,7143590000
005940,NH투자증권,26400,270461,9747041172000,7140170400
203650,드림시큐리티,2775,2565737,282229943100,7119920175
0220W0,한화머시너리앤서비스홀딩스,6680,1061645,564563773800,7091788600
100790,미래에셋벤처투자,17590,399106,934390967020,7020274540
452280,한선엔지니어링,13600,510085,261768312000,6937156000
047810,한국항공우주,130300,53011,12701006442100,6907333300
066575,LG전자우,72900,92940,1252516697100,6775326000
020150,롯데에너지머티리얼즈,39850,168875,2086763700550,6729668750
192820,코스맥스,267000,24536,3030318903000,6551112000
140860,파크시스템스,256000,25554,1792632064000,6541824000
051900,LG생활건강,297000,21904,4447730331000,6505488000
005385,현대차우,177600,36406,4056212971200,6465705600
006910,보성파워텍,7630,830024,374860557120,6333083120
011790,SKC,89400,70762,4434087841200,6326122800
204320,HL만도,47300,132980,2221071776000,6289954000
295310,에이치브이엠,60100,103659,745513935800,6229905900
033170,시그네틱스,2990,2068931,51265532370,6186103690
044490,태웅,38500,159537,770284168500,6142174500
023530,롯데쇼핑,110700,54565,3131565178500,6040345500
252990,샘씨엔에스,17530,343759,1055619594170,6026095270
005290,동진쎄미켐,43200,139082,2201909443200,6008342400
126340,비나텍,85600,69203,614643438400,5923776800
000670,영풍,44300,133645,815593256900,5920473500
