종목코드,종목명,정규장종가,정규장거래량,시가총액,거래대금
417200,LS머트리얼즈,13830,1541464,935636273970,21318447120
004310,현대약품,10220,2071363,327040000000,21169329860
005490,POSCO홀딩스,325500,64817,25793117038500,21097933500
066970,엘앤에프,111100,183252,4520235042400,20359297200
034730,SK,537000,37607,38933951511000,20194959000
068270,셀트리온,179800,109656,41824568244800,19716148800
322000,HD현대에너지솔루션,127800,153916,1431360000000,19670464800
000810,삼성화재,659000,29671,29422684707000,19553189000
010950,S-Oil,151600,127106,17067551267200,19269269600
175330,JB금융지주,31150,616144,5810154817600,19192885600
005830,DB손해보험,189200,99635,12392666030800,18850942000
027360,아주IB투자,3900,4830307,472467083400,18838197300
386380,스카이랩스,20250,929741,379930034250,18827255250
035720,카카오,33500,532507,14840496750500,17838984500
012200,계양전기,4295,4132937,116922050555,17750964415
443670,에스피소프트,5730,3029954,137580531720,17361636420
417030,니어스랩,32000,537496,184881792000,17199872000
003230,삼양식품,1299000,13230,9785386485000,17185770000
160190,하이젠알앤엠,26500,630618,818532000000,16711377000
042660,한화오션,83700,196858,25646801077800,16477014600
086520,에코프로,81800,198845,11106489233600,16265521000
009155,삼성전기우,511000,30071,1485468824000,15366281000
183300,코미코,31450,483147,1615374998750,15194973150
178320,서진시스템,34350,439317,2188901847150,15090538950
010140,삼성중공업,21150,710940,18612000000000,15036381000
437730,삼현,49300,303119,1563183053100,14943766700
003670,포스코퓨처엠,183100,78956,16286052882000,14456843600
214450,파마리서치,330500,43505,3433778664000,14378402500
083650,비에이치아이,64100,222451,1983534437500,14259109100
009830,한화솔루션,28700,493686,6454415783200,14168788200
058470,리노공업,69700,203273,5311965945000,14168128100
290550,디케이티,21450,657258,429026383500,14098184100
033780,KT&G,172400,80826,17896922614400,13934402400
161890,한국콜마,149400,92774,3526598503800,13860435600
090460,비에이치,20200,662906,680973067600,13390701200
207940,삼성바이오로직스,1395000,9543,64575876645000,13312485000
051160,지어소프트,12340,1064615,190954466200,13137349100
060370,LS마린솔루션,34100,385071,1781344921400,13130921100
024060,흥구석유,13150,979072,197250000000,12874796800
011200,HMM,21200,604083,19996644964000,12806559600
004020,현대제철,35950,352708,4797375970750,12679852600
015760,한국전력,30950,408158,19868788183150,12632490100
100790,미래에셋벤처투자,17810,698775,946077494180,12445182750
138080,오이솔루션,27750,429636,343482784500,11922399000
010060,OCI홀딩스,206500,57666,3855402908000,11908029000
028300,HLB,30700,379977,4089185446100,11665293900
257720,실리콘투,42100,276156,2760760209200,11626167600
064350,현대로템,123700,93941,13500901644100,11620501700
420770,기가비스,109000,106135,1381657622000,11568715000
144960,뉴파워프라즈마,10340,1118525,451781732160,11565548500
004170,신세계,367500,31034,3471104017500,11404995000
336260,두산퓨얼셀,49900,228026,3268136927400,11378497400
456070,이엔셀,6630,1713223,73125697710,11358668490
049080,기가레인,10460,1069139,88787973640,11183193940
009540,HD한국조선해양,339000,32494,23992086324000,11015466000
005387,현대차2우B,175800,62592,6146658894000,11003673600
